full_text	text	tsv	levels
Utility Processor 0x1d00000000000000	Utility Proc 0	tsv/Proc_0x1d00000000000000.tsv	2
CPU Processor 0x1d00000000000001	CPU Proc 1	tsv/Proc_0x1d00000000000001.tsv	1
CPU Processor 0x1d00000000000002	CPU Proc 2	tsv/Proc_0x1d00000000000002.tsv	1
CPU Processor 0x1d00000000000003	CPU Proc 3	tsv/Proc_0x1d00000000000003.tsv	2
CPU Processor 0x1d00000000000004	CPU Proc 4	tsv/Proc_0x1d00000000000004.tsv	3
CPU Processor 0x1d00000000000005	CPU Proc 5	tsv/Proc_0x1d00000000000005.tsv	1
CPU Processor 0x1d00000000000006	CPU Proc 6	tsv/Proc_0x1d00000000000006.tsv	1
CPU Processor 0x1d00000000000007	CPU Proc 7	tsv/Proc_0x1d00000000000007.tsv	1
CPU Processor 0x1d00000000000008	CPU Proc 8	tsv/Proc_0x1d00000000000008.tsv	1
CPU Processor 0x1d00000000000009	CPU Proc 9	tsv/Proc_0x1d00000000000009.tsv	1
CPU Processor 0x1d0000000000000a	CPU Proc 10	tsv/Proc_0x1d0000000000000a.tsv	1
CPU Processor 0x1d0000000000000b	CPU Proc 11	tsv/Proc_0x1d0000000000000b.tsv	1
CPU Processor 0x1d0000000000000c	CPU Proc 12	tsv/Proc_0x1d0000000000000c.tsv	2
CPU Processor 0x1d0000000000000d	CPU Proc 13	tsv/Proc_0x1d0000000000000d.tsv	2
CPU Processor 0x1d0000000000000e	CPU Proc 14	tsv/Proc_0x1d0000000000000e.tsv	2
CPU Processor 0x1d0000000000000f	CPU Proc 15	tsv/Proc_0x1d0000000000000f.tsv	1
CPU Processor 0x1d00000000000010	CPU Proc 16	tsv/Proc_0x1d00000000000010.tsv	2
System Memory 0x1e00000000000000	System Memory 0	tsv/Mem_0x1e00000000000000.tsv	7
